close_time,ret,equity,gross_exposure,net_exposure,cost
2020-01-01 00:00:00+00:00,0,1000000,0,0,0
2020-01-02 00:00:00+00:00,0,1000000,0,0,0
2020-01-03 00:00:00+00:00,0,1000000,0,0,0
2020-01-04 00:00:00+00:00,0,1000000,0,0,0
2020-01-05 00:00:00+00:00,0,1000000,0,0,0
2020-01-06 00:00:00+00:00,0.010714094,1010757.4,0.17812516,0.17812516,0.00010933612
2020-01-07 00:00:00+00:00,0.0079539105,1018781.6,0.24027408,0.24027408,0.00010708834
2020-01-08 00:00:00+00:00,-0.014107,1004478.7,0.21176066,0.21176066,7.3240268e-05
2020-01-09 00:00:00+00:00,-0.001498124,1002971.8,0.11284703,0.11284703,4.3230471e-05
2020-01-10 00:00:00+00:00,0.0045136378,1007503.7,0.10586076,0.10586076,5.5585612e-05
2020-01-11 00:00:00+00:00,-0.0021456023,1005340.4,0.1447891,0.13302827,8.4415031e-05
2020-01-12 00:00:00+00:00,0.00028678575,1005628.3,0.091856325,0.076322634,6.4172535e-05
2020-01-13 00:00:00+00:00,0.00085877609,1006491.3,0.090782047,0.018253763,8.609565e-05
2020-01-14 00:00:00+00:00,0.022421762,1029264.9,0.21939307,0.21939307,0.00013130811
2020-01-15 00:00:00+00:00,-0.0084663383,1020329.1,0.44244428,0.44244428,0.00023286023
2020-01-16 00:00:00+00:00,-0.0030242549,1017193,0.37189061,0.37189061,0.00022456915
2020-01-17 00:00:00+00:00,0.026314566,1044158.6,0.50090857,0.50090857,0.00021714586
2020-01-18 00:00:00+00:00,0.0022005873,1046396.8,0.46034303,0.46034303,0.0002061477
2020-01-19 00:00:00+00:00,-0.02251913,1022852.3,0.31581101,0.31581101,0.00011578903
2020-01-20 00:00:00+00:00,-0.0012951557,1021526.5,0.13474536,0.13416548,8.6394918e-05
2020-01-21 00:00:00+00:00,0.0031778056,1024762,0.23315316,0.23315316,0.00010925504
2020-01-22 00:00:00+00:00,-0.0026193758,1022078.1,0.14623192,0.14619311,5.7805512e-05
2020-01-23 00:00:00+00:00,-0.0033566672,1018651.2,0.075150688,0.038097415,4.8902575e-05
2020-01-24 00:00:00+00:00,-0.0022016035,1016408.1,0.066484452,-0.0021366965,6.0279699e-05
2020-01-25 00:00:00+00:00,0.00019319294,1016604.4,0.069186697,-0.016236615,4.5828295e-05
2020-01-26 00:00:00+00:00,0.00066459954,1017279.8,0.11496016,0.0011015148,7.0202858e-05
2020-01-27 00:00:00+00:00,0.0042921082,1021646.6,0.14211328,0.12777828,9.8479182e-05
2020-01-28 00:00:00+00:00,0.003650676,1025366.7,0.22486676,0.22486676,0.00011579062
2020-01-29 00:00:00+00:00,-0.0040276621,1021221.4,0.27170954,0.27170954,0.00013469016
2020-01-30 00:00:00+00:00,0.010723695,1032201.2,0.3167584,0.3167584,0.00017400757
2020-01-31 00:00:00+00:00,-0.0089038489,1022984.8,0.54177475,0.54177475,0.00024954431
2020-02-01 00:00:00+00:00,-0.0022881368,1020610.9,0.44124427,0.44124427,0.00018575856
2020-02-02 00:00:00+00:00,0.0091359093,1029903.6,0.49613399,0.49613399,0.00037130278
2020-02-03 00:00:00+00:00,-0.0031495875,1026616.8,0.43923025,0.43923025,0.00020897524
2020-02-04 00:00:00+00:00,0.0055966927,1032312.4,0.4162266,0.4162266,0.00018067409
2020-02-05 00:00:00+00:00,0.013314713,1046081.4,0.49790595,0.49790595,0.00027547234
2020-02-06 00:00:00+00:00,0.030123899,1077820,0.64099216,0.64099216,0.00031113958
2020-02-07 00:00:00+00:00,0.011660111,1090317.1,0.67241955,0.67241955,0.00027833683
2020-02-08 00:00:00+00:00,0.027163906,1120072.7,0.62718966,0.62718966,0.00027724583
2020-02-09 00:00:00+00:00,0.018641046,1140988.3,0.5714118,0.5714118,0.00023379335
2020-02-10 00:00:00+00:00,-0.016976138,1121601.5,0.43789042,0.43789042,0.00018214464
2020-02-11 00:00:00+00:00,0.024854285,1149693.2,0.38764773,0.38764773,0.00018071314
2020-02-12 00:00:00+00:00,0.019780827,1172570.9,0.42127221,0.42127221,0.00020811996
2020-02-13 00:00:00+00:00,-0.0053353616,1166169.4,0.41629909,0.41629909,0.00017152607
2020-02-14 00:00:00+00:00,0.011322895,1179400.2,0.34751021,0.34751021,0.00017514835
2020-02-15 00:00:00+00:00,-0.026231602,1148663.3,0.33955039,0.33955039,0.00012548778
2020-02-16 00:00:00+00:00,-0.01112909,1135899,0.16343612,0.15937749,5.4665506e-05
