区間,Sharpe,年率,最大DD,年率ボラ,BTC相関,BTCベータ,月次勝率,月数,発注/日
全期間,1.5770399494286067,0.3002855682997958,-0.1410159414747333,0.1665042844108577,-0.0531830827462829,-0.0149407456750758,0.6133333333333333,75,10.921791839148431
開発期間,1.6963773092380063,0.3276731232754264,-0.1410159414747333,0.1670783245572506,0.0015926654460831,0.0004313919464852,0.6166666666666667,60,10.65066070246708
ホールドアウト,1.0593039701631295,0.1897939582535481,-0.0848973710591368,0.1640512569595284,-0.4224251203984745,-0.1513021507820545,0.6,15,12.075764934434192
